@relation 'litere-weka.filters.unsupervised.attribute.Remove-R1-2,11,18-19-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O7.3-E8.7-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R21'

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
3,1,1,1,0,0,0,0,0,10,0,385,0,228,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,361,0,242,184,62,33,0,0,0
2,2,0,0,0,0,0,0,0,11,0,399,0,249,184,62,33,0,0,0
2,0,0,2,0,0,0,0,0,11,0,399,0,249,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,292,0,247,2,0,0,0,0,0
65,13,9,14,14,9,1,5,5,11,0,399,115,249,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,10,0,345,0,225,33,4,12,0,0,0
27,2,7,5,3,7,3,0,2,11,0,399,62,249,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,10,0,274,0,225,33,4,12,0,0,0
41,1,14,9,8,5,2,2,0,10,0,397,0,226,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,10,0,345,0,225,33,4,12,0,0,0
1,0,0,1,0,0,0,0,1,12,0,382,12,261,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
3,0,0,1,0,1,1,0,0,12,0,389,0,284,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
11,3,3,2,0,3,0,0,7,12,0,389,182,284,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
129,25,24,24,18,16,10,12,0,12,0,389,0,284,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,333,0,260,33,4,12,0,0,0
2,0,1,1,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,11,0,333,0,260,33,4,12,0,0,0
5,2,1,2,0,0,0,0,0,12,0,389,0,284,184,62,33,0,0,0
3,0,1,1,0,1,0,0,0,11,0,399,0,249,184,62,33,0,0,0
74,6,5,16,16,12,16,3,16,15,192,409,356,346,442,182,41,0,0,0
45,5,3,5,10,6,7,9,0,12,0,380,0,274,442,182,41,0,0,0
50,1,2,5,6,12,12,12,4,7,4,397,88,132,442,182,41,0,0,0
7,0,0,1,1,2,2,1,0,12,0,380,0,274,442,182,41,0,0,0
150,32,26,25,18,18,18,13,1572,6,1,276,22045,121,442,182,41,0,0,0
72,9,7,9,12,11,10,14,8,13,-42,357,176,294,442,182,41,0,0,0
5,0,1,1,0,0,3,0,0,12,0,354,0,274,442,182,41,0,0,0
0,0,0,0,0,0,0,0,6,11,0,366,138,238,389,132,33,0,0,0
0,0,0,0,0,0,0,0,20,8,-2,379,474,156,389,132,33,0,0,0
2,0,0,0,0,1,1,0,0,2,0,0,0,39,389,132,33,0,0,0
224,46,37,39,53,17,21,11,0,14,0,414,0,288,442,182,41,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,12,0,0,0
18,2,1,4,2,0,6,3,8,6,0,359,184,160,442,182,41,0,0,0
170,22,40,39,26,32,9,2,0,13,0,408,0,262,442,182,41,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,72,9,12,0,0,0
15,1,0,1,0,1,9,3,0,12,0,376,0,274,442,182,41,0,0,0
61,6,13,9,9,9,7,8,0,12,0,376,0,274,442,182,41,0,0,0
50,4,7,5,5,10,14,5,5,14,0,357,115,301,442,182,41,0,0,0
34,4,4,4,5,8,5,4,1,8,0,282,16,190,442,182,41,0,0,0
11,0,0,1,3,3,3,1,0,12,0,376,0,274,442,182,41,0,0,0
2,0,0,1,0,0,1,0,0,12,0,376,0,274,442,182,41,0,0,0
5,0,1,1,1,2,0,0,0,12,0,365,0,274,442,182,41,0,0,0
38,4,1,6,5,10,6,6,0,10,0,316,0,235,442,182,41,0,0,0
3,0,0,2,0,0,1,0,0,10,0,316,0,235,442,182,41,0,0,0
12,2,1,1,0,2,4,2,0,3,0,470,0,79,442,182,41,0,0,0
19,2,4,2,3,3,1,4,0,10,0,316,0,235,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,442,182,41,0,0,0
2,0,0,1,0,1,0,0,0,10,0,316,0,235,442,182,41,0,0,0
