@relation final-weka.filters.unsupervised.attribute.Remove-R1

@attribute course numeric
@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
110,11,0,11,0,2,0,10,8,2,0,1283,5178,2610,6.6
110,10,0,10,0,0,0,11,7,4,0,313,7303,216,4
110,10,0,10,0,0,0,12,8,4,0,649,6323,419,4
110,10,0,10,0,0,0,12,9,3,0,1340,5007,1090,7.5
110,10,0,10,0,1,0,10,9,1,0,560,2788,1466,8.1
110,10,0,10,0,0,0,12,9,3,0,212,5399,0,7.4
110,11,0,11,0,0,0,11,6,5,0,922,4308,1757,6.9
110,11,0,11,0,2,0,13,8,5,0,1188,5736,1912,7.1
110,11,0,11,0,3,0,12,8,4,0,1596,6465,13299,7
110,10,0,10,0,1,0,11,8,3,0,827,2355,1412,4
110,10,0,10,0,0,0,12,6,6,0,727,4788,2015,8.2
110,11,0,11,0,6,0,10,7,3,0,3061,7215,0,9
110,9,0,9,0,0,0,12,7,5,0,1116,3883,1318,6.9
110,11,0,11,0,3,0,10,4,6,0,679,4783,4444,5.7
110,9,0,9,0,0,0,13,8,5,0,812,7483,1031,7.2
110,10,0,10,0,0,0,12,8,4,0,694,4245,1717,7.8
110,10,0,10,0,0,0,6,4,2,0,766,1639,133,4
110,10,0,10,0,2,0,12,8,4,0,842,6174,0,7
110,10,0,10,0,0,0,11,9,2,0,523,3917,1177,9.2
110,9,0,9,0,2,0,11,9,2,0,587,6498,0,7.7
110,9,0,9,0,3,0,8,6,2,0,1017,3570,5367,7
110,10,0,10,0,0,0,12,9,3,0,836,4598,1457,7.7
110,11,0,11,0,7,0,13,9,4,0,1465,8164,10497,8
110,10,0,10,0,0,0,11,9,2,0,1033,5976,0,7.3
110,10,0,10,0,5,0,13,8,5,0,663,4276,0,7.8
110,10,0,10,0,2,0,13,9,4,0,723,4918,1926,7.5
110,10,0,10,0,6,0,12,9,3,0,1077,8700,4636,7.8
110,9,0,9,0,0,0,11,8,3,0,1014,3875,929,6.8
